id,name
"a0c2df8a-c9e4-4744-b8bf-34141ab8d1e7","Al Raha Lofts 1"
"04a27d76-3afd-4181-ad59-68d9856694e3","Al Serh Residences 11"
"6d1b5fb3-eb17-4d34-8752-d7eff95677ff","Altair 52"
"da2ce4ab-9bc7-4a10-927d-783594dd7377","Altai Tower"
"c8ac372d-c5dc-4e35-8a98-6afb6a37a2f8","Altan"
"88f2a11a-887c-4188-b010-f475cbe5a5c1","ALTA V1EW"
"3cac94b9-633c-4291-a843-45d0daa39f8c","Altay Hills"
"e3ba9bda-d8d7-4b9f-aa05-f087b614fa06","Al Thuraya Island"
"cfcb0d31-f9b2-4b30-b6ee-b3b1d6530346","Altia One"
"02a9f838-ade7-4a11-8c01-f5dd00f52bb5","Altitude de Grisogono"
"76703524-bcab-4b8a-a090-9e316e4e35f1","Alton"
"f4429811-afbd-495c-809e-8fe6da4d70fd","Altus"
"acf0a92f-8c4b-4ef5-ae12-2c811dbd4a9f","Al Vista"
"c2a3b9b0-5893-443a-9eaf-18c5cd474dd1","Al Waha"
"b4128758-c5b0-4cab-a627-4e4933831bff","Al Waha 2"
"d1262e69-d72b-456a-b11e-40e1621b28cd","Al Waleed Garden 2"
"25b457d0-9f46-45e4-9585-6f3b268fd56c","Al Waleed W.S 1"
"f144e447-06c5-4532-82f9-51d2269b9286","Al Zorah Beach Hills Villa's"
"97d38a5e-a32a-40e7-8acf-21b20cbb26a4","Al Zorah Seaside Hills"
"18a1e664-4982-42b7-882a-192fe89eb5ce","Amalia Residences"
"055ff234-ae6e-43fb-807b-a73c0b4a4b7f","Amali Island"
"0db022cf-b3dc-47ae-98f8-bfab8d5fed2c","Amal Tower"
"1867a8f2-3946-4919-8bce-d9954ea59527","Amara "
"40e5e3c4-57f3-4bac-a1db-7900d37d759c","Amaris Tower"
"3001b6a8-aaab-42a5-9d15-e1cc4847789b","Amazonia Residence"
"f3c5ebda-0717-4d08-af14-7f0fe99d0cdb","Amber by Enso"
"a1d56e25-02fb-4071-8675-25bff48254bb","Amer Al Ghurair Residences"
"7c8eb7a4-26aa-4084-83ef-c70170397631","Amethyst by Siroya"
"0b023539-193f-4a56-b5b1-df485f53dd93","Amour Sans Detour"
"cf9cb34d-19f5-4488-a74d-c85fa61d153e","Amwaj Tower"
"1a2100c3-6ff1-4a31-8d00-ffdda2f8b1aa","Ananda Residences"
"9b7143bb-2a0b-459c-81fe-dbe9dc1f6d70","Anantara Mina"
"4c37716f-e2f6-4126-8572-3ca23f1abb40","Anantara Residences"
"3db33603-0774-451a-b010-80d2a17d4a6f","Anantara Sharjah Resort"
"8e098b41-bde1-4d56-b5c5-782384f0d6de","Anbar Residences"
"f2aa5cd9-7b1f-4bc1-a30e-1a3ef6a08289","Antalya"
"0e746d9a-6501-43f1-891e-27a43437fe2a","Anwa"
"5b08dc39-8227-4383-8b9c-bbd62e4624ae","Anwa Aria"
"da76a644-b6b0-4ae8-abd5-a4ab70a1178f","ANYA 2"
"f6d2661f-eef5-45a4-9e5c-00da65bc2a06","ANYA Townhouses"
"b73cedae-8dc8-46f0-8b15-d353b1c16c27","Aqua Arc"
"bce553c9-137b-491e-bc78-14934646c1ac","Aqua Dimore"
"ae0ec9f5-0813-4bb5-a9e1-04af1201b1d5","Aqua Maya"
"464ef2b4-02a9-42ad-8b69-b47356d595c5","Aquino"
"fff8cafb-1cde-4129-bba5-91be7f61f410","Arabian Hills Estate"
"4c7fcb5c-9d9b-4556-8b0d-d7e7ca27ba2c","Arada Gate 2"
"9dd53db1-2b50-4bf3-bf4e-860506a7edb3","Aras Heights"
"5ac6dffc-be20-422a-8d79-a7d337b52455","Arbor View"
"117f1002-b778-4638-a6dd-816ae3b8781f","Areej Apartments"
"f977de1d-ec39-4bb1-83e6-2187764dd9e5","Aria Heights"
"885968bf-7fd4-42cb-b80c-dc571bc5a4d6","Aria on the Park"
"46365b63-e351-4518-b318-84913b7478a5","Arib Collection"
"dffff080-4daa-439f-b03b-21c97562b8d7","Arisha Terraces"
"adcdce1f-bd0a-42f8-a482-d8c0555a36b8","Aristo"
"53ef5c84-7abe-467c-8ff7-3a59209057e1","Arka Enclave Residences by Atmosphere Living"
"d4058180-4828-4289-9662-ad38bd8e454e","Arlington Park"
"bb3a87b3-0c39-4660-9531-d2c7f4193c85","Arlo"
"468e1ced-25f3-4bf2-9220-7dd8f8a5adaf","Armani Beach Residence"
"04f692b7-00e0-454b-8ec0-ad4a275f9196","Armani Beach Residences by RAK"
"d844decf-adff-46e0-81e6-7f053f85c1db","Art Bay"
"fdd9e3e8-2fb2-4a82-870e-7c98eb155654","Arthouse Private Residences"
"d7c8fcf7-2519-4e4a-be25-8d21cc47c946","Arthouse Residences by Cledor"
"5dab7f1e-a5bb-4701-ac43-10d0c31b18fb","Artist Hotel"
"bdacf13c-7915-437e-ae26-c7e822f748e6","Artistry One Residences"
"5605000c-a6fe-4966-a22f-db95e91ac9ce","Artistry Two Residences"
"569cadd8-9781-475a-ba4c-38f17522641c","Arya Residences"
"2391cf45-c815-47b0-ac7b-58e7ab3c4bb4","Asayel Apartments at MJL"
"a8eec2a9-3166-401d-93a8-fdf7097cf0ae","Asayel Avenue"
"94014c62-cdf8-4b60-8184-f6cee9a9cbfb","Ascot Residences"
"5b7f1d37-2079-4e3d-a439-22052ecab7c9","Ashley Hills"
"bd620afb-332b-414c-b7ab-8b6a304fab45","Ashton Park Residences"
"7fb3a22b-a786-4265-ad1a-d10bb9c6d9df","Ashwood Residences"
"90189636-d833-4661-a568-2314d31bd8aa","Aspirz"
"d3f15d73-1d79-4700-905c-2d82e00a0af3","Astra South"
"7af34b18-8ccc-4280-8b6a-cb2e4d32df3b","Atelis"
"7eae56f2-e36d-4dab-bf8b-bf4883779d62","Athlon by Aldar"
"3eb7250b-0a30-4c85-9d8c-71a7d969a936","Augusta"
"44466217-e29e-489f-80c5-4528ed2b8931","Aum 99 Residences"
"60432e05-b621-480a-ac92-37632f97f2f9","Aura Elegance"
"33322033-fa00-4c45-99fe-fa2cbc2f1bb0","Aura Elite"
"18b48db0-1e41-4ea1-9566-e3a8ddb7215c","Aura Prestige"
"e68c9111-6f0d-46d0-a52b-c4294d0ff071","Aura Residences"
"03690579-c232-419d-bae1-7ff3c7c44174","Aurea"
"2c6ccfaf-c5cc-4437-92f5-50b1faf64852","AUREL1A Residence"
"f4db0aad-c72d-4be7-84cb-61cf9a73ef75","Auresta Tower"
"86e7f0b2-f7f1-45dc-9318-df0b57799dde","Aurora by Binghatti"
"b119d49d-e37f-49bb-9570-f4329282f20e","Autograph Collection"
"6315b8a3-d661-4c69-91ab-c2e0160f6327","Autograph S Series Residence"
"e5f4fb6b-b459-4524-b092-faf47834abf3","Autograph X"
"8fca6691-c3c1-4115-a693-9439a1f9c5ff","Avana Residences"
"71c29dc8-ebf6-4c26-8af8-26ceda2fbb16","Avant Garde Residences 2"
"e5c2bd9f-03aa-430a-b89f-9760c6624ead","Avant Garde Residences by Skyline"
"377abbe2-a9c1-47f5-8145-189d3328bfbf","Avanti Tower"
"cb959bf3-11d7-475e-8d94-61d14c26ab0e","Avarra by Palace"
"1600630d-9b44-42bc-9442-ed57a2f89620","Avelia The Valley"
"9d14bfdd-2558-49bb-8b7e-467a392b4c3e","Aveline Residences"
"97542feb-3471-4d0c-9ae7-33406b992e06","Avelon Boulevard"
"b280abbe-9271-486d-b774-0911eb6afa54","Avena at The Valley"
"31c3c8eb-2ff7-4645-b9ee-db9f6b594c61","Avenew 888 - Loom"
"c25df932-2a40-4591-9c34-79265f158b87","Avenew 888 - Modo"
"bcbf47fe-3548-4b89-91a2-cf1836f0eed2","AVENUE Residence 4"
"5c7540eb-8aee-4b62-a167-810881fa680a","Avenue Residence 5"
"11162601-168c-4198-8a2a-f9c44e6b3f70","Avenue Residence 6"
"c5ab0126-8fa7-4990-bb82-a2dc213f5f43","Avenue Residence 7"
"d50dcf11-2832-4b83-8976-b0b7462876fd","Avenue Residence 8"
"61441325-bf27-4e70-97b0-b44bdc4dff91","Avida Residences"
"a6ae0800-6af7-474d-a5bf-0281cdd407ff","Avion Residence"
"0ace2e19-0916-482e-9325-136f7aad1a28","Avonlea"
"87ecb272-7f15-4fd8-90dc-27ce59857d49","AYA Beachfront Residences"
"3ed44d50-6332-4ae6-90fe-cc5e67f6ff77","Ayala on the Рark"
"8e87d257-35ce-411c-aef7-82705ad8af72","Ayana Gardens"
"4f8e6fad-519d-4fff-8675-762739a87cf4","Aykon City Tower"
"8076e4e8-65aa-4702-a3f4-875fc61c6955","Aysha Residences 1 and 2"
"1b51bbbb-5aca-4e37-b693-b6f876b22b9a","Azha Millennium Residences"
"6208252f-a31c-4df7-8a28-36cefc1e127e","Azizi Abraham"
"43dd4b89-b65c-4fdf-bfc1-4f60ed8a1571","Azizi Amber"
"9cfa5e1d-1efa-448f-903a-9eb5324858ec","Azizi Amir"
"1ecf5da9-9025-4b91-9be9-08897fef581f","Azizi Arian"
"1870f094-97f1-4a77-8e66-10c113e2bb33","Azizi Aura"
"8e6a1c1c-3f68-4069-9a12-9b0f535f45d8","Azizi Central"
"d11d0792-e031-4bb1-bd6f-b9e8c5476871","Azizi David"
"599cb186-4ad9-442d-a8b5-bd51e9d47421","Azizi Farishta II"
"ccc3bf1a-92f1-4c1b-8af4-6aaffb5310f4","Azizi Gabriel"
"a327d197-13db-47eb-98fb-c536aed56234","Azizi Grand "
"66938497-57fd-49a6-82cd-3e47fa03a4ac","Azizi Jewel"
"f1e9e9aa-d98c-4ef3-8b20-b9c375a855f0","Azizi Leily"
